postmerge: 246 merged PRs · {'n': 168, 'with_fix': 118, 'rate': 0.702, 'with_human_fix': 45, 'human_rate': 0.268} · by approval {'auto': {'n': 157, 'with_fix': 111, 'rate': 0.707, 'with_human_fix': 40, 'human_rate': 0.255}, 'human': {'n': 11, 'with_fix': 7, 'rate': 0.636, 'with_human_fix': 5, 'human_rate': 0.455}, 'shepherd': {'n': 0, 'with_fix': 0, 'rate': None, 'with_human_fix': 0, 'human_rate': None}} · median days to first fix 4
postmerge: 252 merged PRs · {'n': 173, 'with_fix': 123, 'rate': 0.711, 'with_human_fix': 47, 'human_rate': 0.272} · by approval {'auto': {'n': 162, 'with_fix': 116, 'rate': 0.716, 'with_human_fix': 42, 'human_rate': 0.259}, 'human': {'n': 11, 'with_fix': 7, 'rate': 0.636, 'with_human_fix': 5, 'human_rate': 0.455}, 'shepherd': {'n': 0, 'with_fix': 0, 'rate': None, 'with_human_fix': 0, 'human_rate': None}} · median days to first fix 5
postmerge: 259 merged PRs · {'n': 174, 'with_fix': 125, 'rate': 0.718, 'with_human_fix': 47, 'human_rate': 0.27} · by approval {'auto': {'n': 163, 'with_fix': 118, 'rate': 0.724, 'with_human_fix': 42, 'human_rate': 0.258}, 'human': {'n': 11, 'with_fix': 7, 'rate': 0.636, 'with_human_fix': 5, 'human_rate': 0.455}, 'shepherd': {'n': 0, 'with_fix': 0, 'rate': None, 'with_human_fix': 0, 'human_rate': None}} · median days to first fix 6
postmerge: 276 merged PRs · {'n': 177, 'with_fix': 127, 'rate': 0.718, 'with_human_fix': 48, 'human_rate': 0.271} · by approval {'auto': {'n': 164, 'with_fix': 119, 'rate': 0.726, 'with_human_fix': 43, 'human_rate': 0.262}, 'human': {'n': 13, 'with_fix': 8, 'rate': 0.615, 'with_human_fix': 5, 'human_rate': 0.385}, 'shepherd': {'n': 0, 'with_fix': 0, 'rate': None, 'with_human_fix': 0, 'human_rate': None}} · median days to first fix 7
postmerge: 289 merged PRs · {'n': 182, 'with_fix': 129, 'rate': 0.709, 'with_human_fix': 48, 'human_rate': 0.264} · by approval {'auto': {'n': 169, 'with_fix': 121, 'rate': 0.716, 'with_human_fix': 43, 'human_rate': 0.254}, 'human': {'n': 13, 'with_fix': 8, 'rate': 0.615, 'with_human_fix': 5, 'human_rate': 0.385}, 'shepherd': {'n': 0, 'with_fix': 0, 'rate': None, 'with_human_fix': 0, 'human_rate': None}} · median days to first fix 8
postmerge: 302 merged PRs · {'n': 183, 'with_fix': 129, 'rate': 0.705, 'with_human_fix': 48, 'human_rate': 0.262} · by approval {'auto': {'n': 170, 'with_fix': 121, 'rate': 0.712, 'with_human_fix': 43, 'human_rate': 0.253}, 'human': {'n': 13, 'with_fix': 8, 'rate': 0.615, 'with_human_fix': 5, 'human_rate': 0.385}, 'shepherd': {'n': 0, 'with_fix': 0, 'rate': None, 'with_human_fix': 0, 'human_rate': None}} · median days to first fix 7
postmerge: 311 merged PRs · {'n': 184, 'with_fix': 130, 'rate': 0.707, 'with_human_fix': 49, 'human_rate': 0.266} · by approval {'auto': {'n': 171, 'with_fix': 122, 'rate': 0.713, 'with_human_fix': 44, 'human_rate': 0.257}, 'human': {'n': 13, 'with_fix': 8, 'rate': 0.615, 'with_human_fix': 5, 'human_rate': 0.385}, 'shepherd': {'n': 0, 'with_fix': 0, 'rate': None, 'with_human_fix': 0, 'human_rate': None}} · median days to first fix 7
postmerge: 321 merged PRs · {'n': 185, 'with_fix': 130, 'rate': 0.703, 'with_human_fix': 49, 'human_rate': 0.265} · by approval {'auto': {'n': 172, 'with_fix': 122, 'rate': 0.709, 'with_human_fix': 44, 'human_rate': 0.256}, 'human': {'n': 13, 'with_fix': 8, 'rate': 0.615, 'with_human_fix': 5, 'human_rate': 0.385}, 'shepherd': {'n': 0, 'with_fix': 0, 'rate': None, 'with_human_fix': 0, 'human_rate': None}} · median days to first fix 7
postmerge: 323 merged PRs · {'n': 185, 'with_fix': 130, 'rate': 0.703, 'with_human_fix': 49, 'human_rate': 0.265} · by approval {'auto': {'n': 172, 'with_fix': 122, 'rate': 0.709, 'with_human_fix': 44, 'human_rate': 0.256}, 'human': {'n': 13, 'with_fix': 8, 'rate': 0.615, 'with_human_fix': 5, 'human_rate': 0.385}, 'shepherd': {'n': 0, 'with_fix': 0, 'rate': None, 'with_human_fix': 0, 'human_rate': None}} · median days to first fix 7
postmerge: 325 merged PRs · {'n': 187, 'with_fix': 131, 'rate': 0.701, 'with_human_fix': 49, 'human_rate': 0.262} · by approval {'auto': {'n': 174, 'with_fix': 123, 'rate': 0.707, 'with_human_fix': 44, 'human_rate': 0.253}, 'human': {'n': 13, 'with_fix': 8, 'rate': 0.615, 'with_human_fix': 5, 'human_rate': 0.385}, 'shepherd': {'n': 0, 'with_fix': 0, 'rate': None, 'with_human_fix': 0, 'human_rate': None}} · median days to first fix 7
postmerge: 329 merged PRs · {'n': 187, 'with_fix': 132, 'rate': 0.706, 'with_human_fix': 49, 'human_rate': 0.262} · by approval {'auto': {'n': 174, 'with_fix': 124, 'rate': 0.713, 'with_human_fix': 44, 'human_rate': 0.253}, 'human': {'n': 13, 'with_fix': 8, 'rate': 0.615, 'with_human_fix': 5, 'human_rate': 0.385}, 'shepherd': {'n': 0, 'with_fix': 0, 'rate': None, 'with_human_fix': 0, 'human_rate': None}} · median days to first fix 6
postmerge: 335 merged PRs · {'n': 187, 'with_fix': 133, 'rate': 0.711, 'with_human_fix': 49, 'human_rate': 0.262} · by approval {'auto': {'n': 174, 'with_fix': 125, 'rate': 0.718, 'with_human_fix': 44, 'human_rate': 0.253}, 'human': {'n': 13, 'with_fix': 8, 'rate': 0.615, 'with_human_fix': 5, 'human_rate': 0.385}, 'shepherd': {'n': 0, 'with_fix': 0, 'rate': None, 'with_human_fix': 0, 'human_rate': None}} · median days to first fix 6
postmerge: 339 merged PRs · {'n': 187, 'with_fix': 133, 'rate': 0.711, 'with_human_fix': 49, 'human_rate': 0.262} · by approval {'auto': {'n': 174, 'with_fix': 125, 'rate': 0.718, 'with_human_fix': 44, 'human_rate': 0.253}, 'human': {'n': 13, 'with_fix': 8, 'rate': 0.615, 'with_human_fix': 5, 'human_rate': 0.385}, 'shepherd': {'n': 0, 'with_fix': 0, 'rate': None, 'with_human_fix': 0, 'human_rate': None}} · median days to first fix 6
postmerge: 344 merged PRs · {'n': 190, 'with_fix': 134, 'rate': 0.705, 'with_human_fix': 49, 'human_rate': 0.258} · by approval {'auto': {'n': 177, 'with_fix': 126, 'rate': 0.712, 'with_human_fix': 44, 'human_rate': 0.249}, 'human': {'n': 13, 'with_fix': 8, 'rate': 0.615, 'with_human_fix': 5, 'human_rate': 0.385}, 'shepherd': {'n': 0, 'with_fix': 0, 'rate': None, 'with_human_fix': 0, 'human_rate': None}} · median days to first fix 6
postmerge: 351 merged PRs · {'n': 191, 'with_fix': 137, 'rate': 0.717, 'with_human_fix': 56, 'human_rate': 0.293} · by approval {'auto': {'n': 178, 'with_fix': 128, 'rate': 0.719, 'with_human_fix': 49, 'human_rate': 0.275}, 'human': {'n': 13, 'with_fix': 9, 'rate': 0.692, 'with_human_fix': 7, 'human_rate': 0.538}, 'shepherd': {'n': 0, 'with_fix': 0, 'rate': None, 'with_human_fix': 0, 'human_rate': None}} · median days to first fix 6
postmerge: 365 merged PRs · {'n': 191, 'with_fix': 138, 'rate': 0.723, 'with_human_fix': 55, 'human_rate': 0.288} · by approval {'auto': {'n': 178, 'with_fix': 129, 'rate': 0.725, 'with_human_fix': 48, 'human_rate': 0.27}, 'human': {'n': 13, 'with_fix': 9, 'rate': 0.692, 'with_human_fix': 7, 'human_rate': 0.538}, 'shepherd': {'n': 0, 'with_fix': 0, 'rate': None, 'with_human_fix': 0, 'human_rate': None}} · median days to first fix 6
postmerge: 377 merged PRs · {'n': 205, 'with_fix': 146, 'rate': 0.712, 'with_human_fix': 56, 'human_rate': 0.273} · by approval {'auto': {'n': 192, 'with_fix': 137, 'rate': 0.714, 'with_human_fix': 49, 'human_rate': 0.255}, 'human': {'n': 13, 'with_fix': 9, 'rate': 0.692, 'with_human_fix': 7, 'human_rate': 0.538}, 'shepherd': {'n': 0, 'with_fix': 0, 'rate': None, 'with_human_fix': 0, 'human_rate': None}} · median days to first fix 6
postmerge: 388 merged PRs · {'n': 220, 'with_fix': 151, 'rate': 0.686, 'with_human_fix': 57, 'human_rate': 0.259} · by approval {'auto': {'n': 207, 'with_fix': 142, 'rate': 0.686, 'with_human_fix': 50, 'human_rate': 0.242}, 'human': {'n': 13, 'with_fix': 9, 'rate': 0.692, 'with_human_fix': 7, 'human_rate': 0.538}, 'shepherd': {'n': 0, 'with_fix': 0, 'rate': None, 'with_human_fix': 0, 'human_rate': None}} · median days to first fix 6
postmerge: 398 merged PRs · {'n': 222, 'with_fix': 155, 'rate': 0.698, 'with_human_fix': 63, 'human_rate': 0.284} (관찰 7일↑) · 3일↑ {'n': 323, 'with_fix': 206, 'rate': 0.638, 'with_human_fix': 74, 'human_rate': 0.229} · by approval {'auto': {'n': 209, 'with_fix': 145, 'rate': 0.694, 'with_human_fix': 55, 'human_rate': 0.263}, 'human': {'n': 13, 'with_fix': 10, 'rate': 0.769, 'with_human_fix': 8, 'human_rate': 0.615}, 'shepherd': {'n': 0, 'with_fix': 0, 'rate': None, 'with_human_fix': 0, 'human_rate': None}} · median days to first fix 6
postmerge: 399 merged PRs · {'n': 226, 'with_fix': 160, 'rate': 0.708, 'with_human_fix': 70, 'human_rate': 0.31} (관찰 7일↑) · 3일↑ {'n': 325, 'with_fix': 210, 'rate': 0.646, 'with_human_fix': 83, 'human_rate': 0.255} · by approval {'auto': {'n': 213, 'with_fix': 150, 'rate': 0.704, 'with_human_fix': 62, 'human_rate': 0.291}, 'human': {'n': 13, 'with_fix': 10, 'rate': 0.769, 'with_human_fix': 8, 'human_rate': 0.615}, 'shepherd': {'n': 0, 'with_fix': 0, 'rate': None, 'with_human_fix': 0, 'human_rate': None}} · median days to first fix 6
