ok  	github.com/hkjang/AgentHub/cmd/agenthub	1.040s
ok  	github.com/hkjang/AgentHub/cmd/agenthub-offline	1.019s
?   	github.com/hkjang/AgentHub/cmd/operator	[no test files]
ok  	github.com/hkjang/AgentHub/cmd/runtime-proxy	(cached)
?   	github.com/hkjang/AgentHub/cmd/worker	[no test files]
ok  	github.com/hkjang/AgentHub/internal/acp	(cached)
ok  	github.com/hkjang/AgentHub/internal/agentserver	(cached)
ok  	github.com/hkjang/AgentHub/internal/api	3.801s
ok  	github.com/hkjang/AgentHub/internal/buildinfo	18.039s
ok  	github.com/hkjang/AgentHub/internal/config	(cached)
ok  	github.com/hkjang/AgentHub/internal/cryptox	(cached)
ok  	github.com/hkjang/AgentHub/internal/dlp	(cached)
ok  	github.com/hkjang/AgentHub/internal/execution	1.168s
ok  	github.com/hkjang/AgentHub/internal/guard	1.020s
ok  	github.com/hkjang/AgentHub/internal/imagecatalog	1.311s
ok  	github.com/hkjang/AgentHub/internal/korean	2.087s
ok  	github.com/hkjang/AgentHub/internal/logging	(cached)
ok  	github.com/hkjang/AgentHub/internal/mail	(cached)
ok  	github.com/hkjang/AgentHub/internal/modelprobe	(cached)
ok  	github.com/hkjang/AgentHub/internal/offlinebundle	1.080s
ok  	github.com/hkjang/AgentHub/internal/operator	1.110s
ok  	github.com/hkjang/AgentHub/internal/policy	(cached)
ok  	github.com/hkjang/AgentHub/internal/quota	1.019s
ok  	github.com/hkjang/AgentHub/internal/runtime	1.050s
ok  	github.com/hkjang/AgentHub/internal/runtimecfg	(cached)
ok  	github.com/hkjang/AgentHub/internal/runtimeenv	(cached)
ok  	github.com/hkjang/AgentHub/internal/runtimespec	(cached)
ok  	github.com/hkjang/AgentHub/internal/runtimetype	(cached)
ok  	github.com/hkjang/AgentHub/internal/store	1.229s
ok  	github.com/hkjang/AgentHub/internal/telemetry	(cached)
ok  	github.com/hkjang/AgentHub/internal/tracking	(cached)
ok  	github.com/hkjang/AgentHub/internal/workflow	1.167s
mkdir -p bin
go build -o bin/agenthub ./cmd/agenthub
go build -o bin/agenthub-operator ./cmd/operator
