ok  	clustara/cmd/api-surface-audit	0.017s
ok  	clustara/cmd/clustara	0.005s
?   	clustara/cmd/clustara-agent	[no test files]
ok  	clustara/cmd/clustara-cli	(cached)
ok  	clustara/internal/action	(cached)
ok  	clustara/internal/agent	0.473s
ok  	clustara/internal/analyzer	0.016s
ok  	clustara/internal/audit	(cached)
ok  	clustara/internal/collector	(cached)
ok  	clustara/internal/config	(cached)
ok  	clustara/internal/gitprovider	(cached)
ok  	clustara/internal/harbor	(cached)
ok  	clustara/internal/kube	(cached)
ok  	clustara/internal/prometheus	(cached)
ok  	clustara/internal/proxy	60.326s
ok  	clustara/internal/secret	(cached)
ok  	clustara/internal/servicecatalog	(cached)
ok  	clustara/internal/serviceinstance	(cached)
ok  	clustara/internal/store	17.673s
ok  	clustara/internal/text2sql	(cached)
