ok  	github.com/hkjang/appstore	1.028s
?   	github.com/hkjang/appstore/cmd/server	[no test files]
ok  	github.com/hkjang/appstore/internal/ai	1.037s
ok  	github.com/hkjang/appstore/internal/analytics	1.027s
ok  	github.com/hkjang/appstore/internal/audit	1.022s
ok  	github.com/hkjang/appstore/internal/auth	6.850s
ok  	github.com/hkjang/appstore/internal/buildinfo	1.025s
ok  	github.com/hkjang/appstore/internal/config	1.022s
ok  	github.com/hkjang/appstore/internal/crypto	1.024s
ok  	github.com/hkjang/appstore/internal/database	1.039s
ok  	github.com/hkjang/appstore/internal/guides	3.660s
ok  	github.com/hkjang/appstore/internal/httpapi	38.299s
ok  	github.com/hkjang/appstore/internal/keymanager	1.010s
ok  	github.com/hkjang/appstore/internal/mcp	1.018s
?   	github.com/hkjang/appstore/internal/model	[no test files]
ok  	github.com/hkjang/appstore/internal/seccheck	1.400s
ok  	github.com/hkjang/appstore/internal/store	4.794s
?   	github.com/hkjang/appstore/internal/webui	[no test files]
ok  	github.com/hkjang/appstore/internal/workflow	1.011s
?   	github.com/hkjang/appstore/migrations	[no test files]
ok  	github.com/hkjang/appstore/openapi	1.045s
